_id,conversation,user,role,content,intent,agent,sources,metadata,createdAt,__v,expiresAt
6a35627327c1401f97ab0e28,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,user,Como podria subir un cv hecho?,cv_help,applicant_support_agent,[],{'source': 'b2c-ai-widget'},2026-06-19 15:38:27.321,0,
6a35627427c1401f97ab0e2b,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,assistant,"Para subir un CV, puedes hacerlo desde la sección de Curriculum Vitae en tu perfil. Allí podrás crear, subir o actualizar tu CV. Actualmente, ya tienes un CV principal llamado ""CV_Rafael_Alonso_Garcia_Castillejo.pdf"". Si deseas cambiarlo o agregar uno nuevo, simplemente sigue las instrucciones en esa sección.",cv_help,applicant_support_agent,"[{'title': 'Gestion de Curriculum Vitae', 'domain': 'cv', 'sourceType': 'internal_static', 'sourceId': 'cv-dashboard'}, {'title': 'CVs del usuario', 'domain': 'cv', 'sourceType': 'mongodb_collection', 'sourceId': 'cvs'}]",,2026-06-19 15:38:28.492,0,
6a35629327c1401f97ab0e35,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,user,"Yap, otra pregunta, esta pagina puedo conectarlo a mi linkedin y que extraiga los datos de ahi?",profile_account,applicant_support_agent,[],{'source': 'b2c-ai-widget'},2026-06-19 15:38:59.347,0,
6a35629427c1401f97ab0e38,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,assistant,"Actualmente, no puedes conectar tu cuenta de laboral.ai a LinkedIn para extraer datos automáticamente. Sin embargo, puedes actualizar tus datos manualmente desde la sección ""Mi Perfil y Configuración"". Si necesitas más ayuda, házmelo saber.",profile_account,applicant_support_agent,"[{'title': 'Perfil y cuenta', 'domain': 'profile', 'sourceType': 'internal_static', 'sourceId': 'profile-settings'}, {'title': 'Perfil autenticado', 'domain': 'profile', 'sourceType': 'mongodb_collection', 'sourceId': 'users'}]",,2026-06-19 15:39:00.280,0,
6a3562b627c1401f97ab0e48,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,user,Y no esta oculto esa seccion en el codigo base?,out_of_scope,boundary_guard,[],{'source': 'b2c-ai-widget'},2026-06-19 15:39:34.176,0,
6a3562b627c1401f97ab0e4a,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,assistant,"Por ahora solo puedo ayudarte con consultas relacionadas a laboral.ai, CV, empleos, postulaciones, empresas, cursos, eventos, perfil o inscripción.",out_of_scope,boundary_guard,[],,2026-06-19 15:39:34.262,0,
6a35631827c1401f97ab0e65,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,user,"Sobre los cursos que hay en laboral, par q son de q sirven ?",courses_sales,course_sales_agent,[],{'source': 'b2c-ai-widget'},2026-06-19 15:41:12.072,0,
6a35631a27c1401f97ab0e73,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,assistant,"Actualmente encontre 4 cursos activos. Te muestro algunas opciones:

1. Ikigai
 - Descripcion: Identifica tu propósito personal con este framework, IKIGAI, que te servirá para guiar tu carrera profesional.
 - Duracion: 40 minutos
 - Modalidad: Virtual - Asíncrono
 - Instructor: Bryan Cerna
 - Precio: Gratis
 - Nivel: Básico
 - Certificado: No
 - Fecha de inicio: Acceso directo
 - Fecha de fin: 2026-12-30

2. Productividad en equipo con Google Workspace
 - Descripcion: ¡Conviértete en un héroe de la productividad! Aprende a centralizar tu centro de mando en Gmail, diseñar arquitecturas de tiempo en Calendar y automatizar el análisis de datos en S...
 - Duracion: 40 minutos
 - Modalidad: Virtual - Asíncrono
 - Instructor: Sofia Flores y José Pauyac
 - Precio: Gratis
 - Nivel: Básico
 - Certificado: Si
 - Fecha de inicio: Acceso directo
 - Fecha de fin: 2026-12-30

3. Flujos end to end
 - Descripcion: Aprende a implementar Flujos End to End para la resolución de problemas y gestión de proyectos de forma ágil y efectiva. 
 - Duracion: 50 minutos
 - Modalidad: Virtual - Asíncrono
 - Instructor: Marilia, Josué y Valeria 
 - Precio: Gratis
 - Nivel: Básico
 - Certificado: No
 - Fecha de inicio: Acceso directo
 - Fecha de fin: 2026-05-09

Tambien hay mas cursos disponibles. Puedes pedirme 'muestrame mas cursos' o revisar el catalogo completo en la seccion Cursos.",courses_sales,course_sales_agent,"[{'title': 'Consulta de cursos', 'domain': 'courses', 'sourceType': 'internal_static', 'sourceId': 'courses-listing'}, {'title': 'Ikigai', 'domain': 'courses', 'sourceType': 'mongodb_collection'}, {'title': 'Productividad en equipo con Google Workspace', 'domain': 'courses', 'sourceType': 'mongodb_collection'}, {'title': 'Flujos end to end', 'domain': 'courses', 'sourceType': 'mongodb_collection'}]",,2026-06-19 15:41:14.513,0,
6a35632f27c1401f97ab0e7d,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,user,dame descripciones mas cortas,profile_account,applicant_support_agent,[],{'source': 'b2c-ai-widget'},2026-06-19 15:41:35.541,0,
6a35633027c1401f97ab0e80,6a35627327c1401f97ab0e26,687711a049fccafa69055cb8,assistant,"Desde ""Mi Perfil y Configuración"" puedes actualizar tus datos, cuenta y preferencias. Si necesitas más ayuda, házmelo saber.",profile_account,applicant_support_agent,"[{'title': 'Perfil y cuenta', 'domain': 'profile', 'sourceType': 'internal_static', 'sourceId': 'profile-settings'}, {'title': 'Perfil autenticado', 'domain': 'profile', 'sourceType': 'mongodb_collection', 'sourceId': 'users'}]",,2026-06-19 15:41:36.392,0,
