_id,title,description,longDescription,price,isFree,duration,date,type,modality,certified,image,level,instructor,spots,certificationName,platform,registrationLink,location,isActive,createdAt,updatedAt,__v,expirationDate,content,keywords,textColor,color_text,examMinScoreToPass,questions,certificatePrice,startTime,examAttemptsLimit,sessions,status,createdBy
69a5f213ca8c2a9ff52ceaeb,LinkedIn Boost - Potencia tu Marca Personal,"Impulsa tu Perfil Profesional y aprende a utilizar Linkedin desde 0, para alcanzar mejores empleos.","Saber utilizar Linkedin con estrategia te abrirá puertas en tu carrera profesional 🙌.

En 5 pasos, vamos a trabajar tu Marca LinkedIn: 
1. Identificar tu meta profesional, público y objetivo de marca personal.
2. Generar un perfil atractivo
3. Ampliar tu red de contactos
4. Cómo conectar con reclutadores
5. Interactúar en LinkedIn

",0,True,1 horas,2026-03-02,Webinars,Virtual,False,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1772501940560-WhatsApp%20Image%202026-03-02%20at%208.37.15%20PM.jpeg,Básico,Maykol Echevarría - Líder en Creación de Contenido,80,,Google Meet,https://drive.google.com/file/d/10_T2eh5b3UvHJu9u47EGPElNa_33yKzG/view?usp=sharing,,False,2026-03-02 20:24:51.815,2026-04-03 16:53:37.887,0,,,,,,,,,,,,,
69b3c0c3d5534aa59d91445e,Test de curso,Test,,0,True,3 horas,Acceso directo,Taller,Virtual - Asíncrono,True,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1773425511758-1559295601824.jpeg,Avanzado,Juan,0,Insomnio,Google Meet,,,False,2026-03-13 07:46:11.686,2026-05-10 19:30:11.736,0,2026-05-20,"[{'title': 'Test', 'url': 'https://cursosvideos.blob.core.windows.net/videos/courses-videos/1777011871486-Contrata_l_deres_imparables_con_IA___Laboral_AI_-_Opera_2026-01-11_13-06-14/index.m3u8', 'type': 'recording', 'chapters': [], '_id': ObjectId('6a00dcc34c10ba808aa05eff')}]","['Software', 'Ing.', 'Doctor', 'Medicina']",black,black,14.0,"[{'question': 'Test', 'options': ['Test2', 'Test3', 'Test4', 'Test5'], 'correctAnswer': 'Test2', 'score': 10, '_id': ObjectId('69eb0bbfbadb7d62204608c5')}, {'question': 'Test', 'options': ['Hola', 'Adios', ':v'], 'correctAnswer': 'Hola', 'score': 10, '_id': ObjectId('69eb0bbfbadb7d62204608c6')}]",3.0,,,,,
69b8f74939a011c05a0adb36,Bootcamp de Desarrollo Web Full Stack,"Aprende a desarrollar aplicaciones web completas desde cero en este bootcamp intensivo de Desarrollo Web Full Stack. Durante el programa, los participantes adquirirán conocimientos fundamentales y prácticos en tecnologías modernas como HTML, CSS, JavaScript, bases de datos y desarrollo backend.

El curso está diseñado para principiantes y personas con conocimientos básicos que deseen ingresar al mundo del desarrollo web. A lo largo del bootcamp, se trabajará en proyectos reales que permitirán aplicar lo aprendido y construir un portafolio profesional.

Al finalizar, los participantes serán capaces de crear aplicaciones web funcionales, manejar bases de datos y comprender la arquitectura de sistemas modernos.",,0,True,4 horas,2026-03-20,Bootcamps,Virtual - Síncrono,False,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1773729607585-descarga.jpeg,Básico,Luis Miguel Torres,60,,Google Meet,https://meet.google.com/qbj-mmgp-ddd,,False,2026-03-17 06:40:09.082,2026-03-19 18:18:23.907,0,2026-03-26,[],"['programación', 'full stack', 'desarrollo web']",,,,,,23:00,,,,
69bae3cf1f6a59264ed47931,LinkedIn Boost - Potencia tu Marca Personal,"Impulsa tu Perfil Profesional y aprende a utilizar Linkedin desde 0, para alcanzar mejores empleos.",,0,True,40 minutos,Acceso directo,Webinar,Virtual - Asíncrono,False,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1773869257191-Captura%20de%20pantalla%202026-03-18%20162713.png,Básico,Maykol Echevarría - Líder en Creación de Contenido,0,,Google Meet,,,True,2026-03-18 17:41:35.954,2026-04-30 01:23:16.035,0,2026-12-30,"[{'title': 'LinkedIn Boost', 'url': 'https://cursosvideos.blob.core.windows.net/videos/courses-videos/1773855569826-asznd/index.m3u8', 'type': 'recording', 'chapters': [], '_id': ObjectId('69f2af04e0681e6a0c1771f6')}]","['LinkedIn', 'Marca Personal', 'Marketing', 'Creación de Contenidos']",,,,,0.0,,,,,
69c0301b9e1dbb79ed47656d,Flujos end to end,Aprende a implementar Flujos End to End para la resolución de problemas y gestión de proyectos de forma ágil y efectiva. ,,0,True,50 minutos,Acceso directo,Webinar,Virtual - Asíncrono,False,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1774361476066-flujos.png,Básico,"Marilia, Josué y Valeria ",0,,Google Meet,,,True,2026-03-22 18:08:27.741,2026-04-30 01:24:50.912,0,2026-05-09,"[{'title': 'Webinar Flujos End to End', 'url': 'https://cursosvideos.blob.core.windows.net/videos/courses-videos/1774319887840-Squad_Omega_Flujos_End_to_End/index.m3u8', 'type': 'recording', 'chapters': [], '_id': ObjectId('69f2af62e0681e6a0c177348')}]","['Innovación', 'Resolución de Problemas']",,black,,,0.0,,,,,
69c38eabaf79cdc40e2e53e9,Negocia y Convence,Aprende a comunicar y persuadir a tu cliente con técnicas comerciles avanzadas.,,0,True,40 minutos,Acceso directo,Webinar,Virtual - Asíncrono,True,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1779113270377-Banner%20Cursos%20%20Laboral%20(11).png,Básico,"Nayeli Espinoza, Jeini Santamaria & Jairo Blas",0,,Google Meet,,,True,2026-03-25 07:28:43.678,2026-05-18 14:07:51.686,0,2026-12-30,"[{'title': 'Habilidades Comerciales', 'url': 'https://cursosvideos.blob.core.windows.net/videos/courses-videos/1774415913566-_Nexus__Taller_Habilidades_Comerciales___Networking_-_2026_03_22_17_58_GMT-05_00_-_Recording/index.m3u8', 'type': 'recording', 'chapters': [], '_id': ObjectId('6a0b1d379847720f18a57248')}]","['Ventas', 'Gestión Comercial', 'Negociación']",,black,,,5.0,,,,,
69c53127d988ad92e49d10be,Productividad en equipo con Google Workspace,"¡Conviértete en un héroe de la productividad! Aprende a centralizar tu centro de mando en Gmail, diseñar arquitecturas de tiempo en Calendar y automatizar el análisis de datos en Sheets sin necesidad de código. Un taller 100% práctico diseñado para una transferencia inmediata de habilidades a tu squad.",,0,True,40 minutos,Acceso directo,Webinar,Virtual - Asíncrono,True,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1774530854058-quantum.png,Básico,Sofia Flores y José Pauyac,0,,Google Meet,,,True,2026-03-26 13:14:15.410,2026-05-11 13:17:41.430,0,2026-12-30,"[{'title': 'Google Workspace - Sesión', 'url': 'https://cursosvideos.blob.core.windows.net/videos/courses-videos/1774530781628-Quatumn/index.m3u8', 'type': 'recording', 'chapters': [], '_id': ObjectId('6a01d6f56cd8aed7999f6d17')}]","['Tecnología', 'Workspace', 'Cloud']",,white,16.0,"[{'question': 'Si necesitas estandarizar la comunicación del equipo para no escribir lo mismo cientos de veces a clientes frecuentes, ¿qué herramienta avanzada de Gmail deberías utilizar?', 'options': ['Plantillas', 'Modo confidencial', 'Filtros', 'Modo IA'], 'correctAnswer': 'Plantillas', 'score': 4, '_id': ObjectId('69fe3894ba5dbd47e70efddd')}, {'question': 'Deseas que clientes externos puedan agendar reuniones contigo viendo únicamente tu disponibilidad real a través de un enlace. ¿Cómo se llama esta función?', 'options': ['Appointment Slots ', 'Horario de trabajo', 'Notas de reunión', 'Calendarios'], 'correctAnswer': 'Appointment Slots ', 'score': 4, '_id': ObjectId('69fe3894ba5dbd47e70efdde')}, {'question': 'Estás redactando un informe y necesitas insertar rápidamente una fecha, el nombre de un colega o un cronograma de proyecto sin salir del documento. ¿Qué comando activa el ""Lienzo Inteligente""?', 'options': ['@ (Arroba)', '# (Hashtag)', '/ (Slash)', '\\ (backslash)'], 'correctAnswer': '@ (Arroba)', 'score': 4, '_id': ObjectId('69fe3894ba5dbd47e70efddf')}, {'question': 'Tienes una columna con nombres y apellidos mezclados. Sheets detecta el patrón y te sugiere completar el resto de la columna automáticamente. ¿Cómo se llama esta función de IA básica? ', 'options': ['Relleno inteligente', 'Limpieza de datos', 'Tabla dinámica', 'Solver'], 'correctAnswer': 'Relleno inteligente', 'score': 4, '_id': ObjectId('69fe3894ba5dbd47e70efde0')}, {'question': 'Quieres crear una encuesta donde el usuario sea dirigido a diferentes secciones dependiendo de su respuesta anterior. ¿Qué configuración debes usar?  ', 'options': ['Cuestionario', 'Salto de sección', 'Validación', 'Salto de pagina'], 'correctAnswer': 'Salto de sección', 'score': 4, '_id': ObjectId('69fe3894ba5dbd47e70efde1')}]",5.0,,,,,
69c53a42d988ad92e49d112f,Ikigai,"Identifica tu propósito personal con este framework, IKIGAI, que te servirá para guiar tu carrera profesional.",,0,True,40 minutos,Acceso directo,Webinar,Virtual - Asíncrono,False,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1774983999225-Banner%20Cursos%20%20Laboral%20(5).png,Básico,Bryan Cerna,0,,Google Meet,,,True,2026-03-26 13:53:06.903,2026-04-30 01:24:15.341,0,2026-12-30,"[{'title': 'Ikigai', 'url': 'https://cursosvideos.blob.core.windows.net/videos/courses-videos/1774532925157-Atlas/index.m3u8', 'type': 'recording', 'chapters': [], '_id': ObjectId('69f2af3fe0681e6a0c1772e5')}]","['Motivación', 'Propósito', 'Desarrollo Personal']",,white,,,0.0,,,,,
69cab9b4d527f2fc913b7c73,"MENTORES - Rodrigo Reyes (Monterrey, México)",Rodrigo nos hablará de Innovación desde México hasta el impacto en todo Latinoamérica,,0,True,1.5 horas,2026-04-15,Webinar,Virtual - Síncrono,False,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1774893491927-WhatsApp%20Image%202026-03-25%20at%204.50.55%20PM.jpeg,Básico,Rodrigo Reyes,0,,Google Meet,meet.google.com/enp-rqth-huv,,False,2026-03-30 17:58:12.986,2026-05-18 14:13:43.702,0,2026-04-15,[],[],,black,,,,19:00,,,,
69cc1b11b4084bc82b4a2939,LinkedIn Boost - Comunidad UTEC,"Previo al evento AI Salon Lima del 09 de abril: https://luma.com/AI-Salon-Lima-FutureOfWork26, tendremos una capacitación dirigida a la comunidad de alumnos, egresados y colaboradores de UTEC; para potenciar su Linkedin y aprovechar al máximo los espacios de interacción con empresas.",,0,True,1 horas,2026-04-08,Webinar,Virtual - Síncrono,False,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1774983952094-Linkedin%20Boost%20-%20UTEC.jpeg,Básico,Laboral Hero,0,,Google Meet,meet.google.com/zpe-gysy-qxw,,False,2026-03-31 19:05:53.029,2026-05-18 14:13:36.451,0,2026-04-08,[],"['empleabilidad', 'linkedin', 'empresas', 'networking']",,black,,,,19:00,,,,
