_id,type,header,optional,title,description,createdAt,updatedAt,__v,answers,maxAllowed
66cbfd8fc5f2c9087447acfc,open,OBJETIVOS,True,"¿Cómo te visualizas en 5 años profesionalmente?. 
¿Qué objetivos te gustaría alcanzar? (Opcional)",,2024-08-26 03:59:11.242,2024-08-26 03:59:11.242,0,,
66cbfd8fc5f2c9087447acf4,open,FORTALEZA,False,Menciona. ¿Qué fortalezas te destacan y en situaciones lo demuestras?,,2024-08-26 03:59:11.241,2024-08-26 03:59:11.241,0,,
66cbfd8fc5f2c9087447ad14,open,FIT CULTURAL,False,¿En qué aspectos te gustaría recibir más orientación o apoyo para mejorar tu empleabilidad?,,2024-08-26 03:59:11.242,2024-08-26 03:59:11.242,0,,
66cbfd8fc5f2c9087447acfd,order,MOTIVACIONES,False,Ordena de mayor a menor tus 10 factores de motivación,,2024-08-26 03:59:11.247,2024-08-26 03:59:11.247,0,"[{'body': 'Curiosidad:  Investigación y aprendizaje continuo.', '_id': ObjectId('66cbfd8fc5f2c9087447acfe')}, {'body': 'Honor: Valores alineados con el trabajo diario.', '_id': ObjectId('66cbfd8fc5f2c9087447acff')}, {'body': 'Aceptación: Reconocimiento por parte de los compañeros.', '_id': ObjectId('66cbfd8fc5f2c9087447ad00')}, {'body': 'Maestría: Desafíos para el crecimiento profesional.', '_id': ObjectId('66cbfd8fc5f2c9087447ad01')}, {'body': 'Poder: Influencia y autonomía en el trabajo.', '_id': ObjectId('66cbfd8fc5f2c9087447ad02')}, {'body': 'Libertad: Independencia en las responsabilidades.', '_id': ObjectId('66cbfd8fc5f2c9087447ad03')}, {'body': 'Relaciones: Vínculos positivos con los compañeros.', '_id': ObjectId('66cbfd8fc5f2c9087447ad04')}, {'body': 'Orden: Ambiente laboral estructurado.', '_id': ObjectId('66cbfd8fc5f2c9087447ad05')}, {'body': 'Meta: Trabajo alineado con el propósito de vida.', '_id': ObjectId('66cbfd8fc5f2c9087447ad06')}, {'body': 'Estatus: Reconocimiento del trabajo realizado.', '_id': ObjectId('66cbfd8fc5f2c9087447ad07')}]",
66cbfd8fc5f2c9087447acf5,open,PUNTOS DÉBILES,False,¿En qué área o habilidad profesional consideras que necesitas mayor desarrollo o formación?,,2024-08-26 03:59:11.241,2024-08-26 03:59:11.241,0,,
66cbfd8fc5f2c9087447ad08,simple,MOTIVACIONES,False,"¿Qué te impulsa a buscar nuevos retos y desafíos profesionales?* (Trabajo, universidad, proyectos, entre otros)",,2024-08-26 03:59:11.247,2024-08-26 03:59:11.247,0,"[{'body': 'La necesidad de mantenerme estimulado/a y evitar la monotonía.', '_id': ObjectId('66cbfd8fc5f2c9087447ad09')}, {'body': 'El deseo de salir de mi zona de confort y superar mis limitaciones.', '_id': ObjectId('66cbfd8fc5f2c9087447ad0a')}, {'body': 'La búsqueda de oportunidades para crecer y desarrollarte  profesionalmente.', '_id': ObjectId('66cbfd8fc5f2c9087447ad0b')}, {'body': 'La aspiración a alcanzar un mayor éxito y reconocimiento en mi carrera.', '_id': ObjectId('66cbfd8fc5f2c9087447ad0c')}, {'body': 'Otro.', '_id': ObjectId('66cbfd8fc5f2c9087447ad0d'), 'type': 'input'}]",
66cbfd8fc5f2c9087447ad0e,simple,FIT CULTURAL,False,¿Cómo consideras que es tu entorno laboral ideal?,Define bien tu respuesta,2024-08-26 03:59:11.247,2024-08-26 03:59:11.247,0,"[{'body': 'Oportunidades de aprendizaje y desarrollo profesional.', '_id': ObjectId('66cbfd8fc5f2c9087447ad0f')}, {'body': 'Equilibrio entre la vida personal y laboral.', '_id': ObjectId('66cbfd8fc5f2c9087447ad10')}, {'body': 'Posibilidad de contribuir a proyectos de impacto social.', '_id': ObjectId('66cbfd8fc5f2c9087447ad11')}, {'body': 'Reconocimiento y recompensas por el desempeño.', '_id': ObjectId('66cbfd8fc5f2c9087447ad12')}, {'body': 'Otro.', '_id': ObjectId('66cbfd8fc5f2c9087447ad13'), 'type': 'input'}]",
66cbfd8fc5f2c9087447acf0,multiple,INTERESES,False,¿Qué tipo de actividades te generan mayor satisfacción y disfrute en tu trabajo? (Selecciona un máximo de 3 opciones),,2024-08-26 03:59:11.246,2024-08-26 03:59:11.246,0,"[{'body': 'Comunicación efectiva', '_id': ObjectId('66cbfd8fc5f2c9087447acf1')}, {'body': 'Liderazgo', '_id': ObjectId('66cbfd8fc5f2c9087447acf2')}, {'body': 'Resolución de conflictos', '_id': ObjectId('66cbfd8fc5f2c9087447acf3')}, {'_id': ObjectId('67cf0ce19eeaeff30f62c36f'), 'body': 'Otro', 'type': 'input'}]",3.0
66cbfd8fc5f2c9087447acf6,simple,OBJETIVOS,False,¿Cuál es tu principal objetivo profesional a corto plazo?* (Selecciona una opción),,2024-08-26 03:59:11.246,2024-08-26 03:59:11.246,0,"[{'body': 'Aprender nuevas habilidades o conocimientos en mi área de especialización.', '_id': ObjectId('66cbfd8fc5f2c9087447acf7')}, {'body': 'Conseguir empleo dentro de una empresa con trayectoria.', '_id': ObjectId('66cbfd8fc5f2c9087447acf8')}, {'body': 'Obtener un ascenso o promoción dentro de la empresa.', '_id': ObjectId('66cbfd8fc5f2c9087447acf9')}, {'body': 'Cambiar de empresa o iniciar un nuevo proyecto profesional.', '_id': ObjectId('66cbfd8fc5f2c9087447acfa')}, {'body': 'Otro.', '_id': ObjectId('66cbfd8fc5f2c9087447acfb'), 'type': 'input'}]",
6867446cd6926f1388638bd9,order,MOTIVACIONES,False,¿Qué beneficios te motivan a trabajar en una empresa?,,2025-07-04 03:03:08.792,2025-07-04 03:12:41.723,0,"[{'body': 'Oportunidades de aprendizaje y desarrollo profesional.', '_id': ObjectId('686746a9d6926f1388638bdc')}, {'body': 'Equilibrio entre la vida personal y laboral.', '_id': ObjectId('686746a9d6926f1388638bdd')}, {'body': 'Posibilidad de contribuir a proyectos de impacto social.', '_id': ObjectId('686746a9d6926f1388638bde')}, {'body': 'Reconocimiento y recompensas por el desempeño.', '_id': ObjectId('686746a9d6926f1388638bdf')}, {'body': 'Flexibilidad horaria o trabajo remoto.', '_id': ObjectId('686746a9d6926f1388638be0')}, {'body': 'Buen clima laboral y cultura organizacional.', '_id': ObjectId('686746a9d6926f1388638be1')}, {'body': 'Estabilidad y seguridad laboral.', '_id': ObjectId('686746a9d6926f1388638be2')}, {'body': 'Planes de salud y bienestar integral.', '_id': ObjectId('686746a9d6926f1388638be3')}, {'body': 'Programas de formación continua o capacitación interna.', '_id': ObjectId('686746a9d6926f1388638be4')}, {'body': 'Posibilidades de crecimiento o línea de carrera.', '_id': ObjectId('686746a9d6926f1388638be5')}, {'body': 'Beneficios económicos adicionales (bonos, utilidades, descuentos, etc.).', '_id': ObjectId('686746a9d6926f1388638be6')}, {'body': 'Respeto a la diversidad y políticas de inclusión.', '_id': ObjectId('686746a9d6926f1388638be7')}]",
